name,phone,email,password
Deanna Ross,778-230-5730,dross@example.com,P@ssw0rd1
Robert Mann,778-159-1152,rmann@example.com,SecurePwd2!
Joshua Meyer,778-500-6113,jmeyer@example.com,StrongPass3#
Rachel Sanchez,236-057-9517,rsanchez@example.com,Password1234$
Curtis Lopez,778-269-3083,clopez@example.com,RandomPwd5%
Jonathan Phillips,236-169-6400,jphillips@example.com,SecretPass6^
Madeline Pace,604-235-0916,mpace@example.com,ProtectedPwd7*
Jennifer Moore,604-702-3735,jmoore@example.com,SafePassword8@
Robert Scott,236-018-9928,rscott@example.com,UniquePwd9$
Katherine Adkins,778-907-7263,kadkins@example.com,Secure1234!
Shawn Pham,778-827-9743,spham@example.com,StrongPwd567#
Nichole Morris,778-976-7735,nmorris@example.com,Password9876$
Charles Walls,236-503-1402,cwalls@example.com,RandomPass543%
Matthew Cohen,236-012-2271,mcohen@example.com,SecretPwd321^
Kyle Green,236-594-5021,kgreen@example.com,ProtectedPass876*
Shirley Richard,778-040-4455,srichard@example.com,SafePwd654@
Teresa Gill,604-278-5329,tgill@example.com,UniquePassword987$
Brittany Delacruz,604-696-7141,bdelacruz@example.com,SecurePass543!
Jason Allen,778-886-2135,jallen@example.com,StrongPassword321#
Amanda Bradley,778-310-5546,abradley@example.com,Password123456$
